a : -634.0000, 0 -> 0
b : -569.0000, 0 -> 7
c : 251.0000, 0 -> 2
d : -998.0000, 0 -> 6
a : 980.0000, 1 -> 1
b : -535.0000, 1 -> 2
c : 28.0000, 1 -> 4
d : 69.0000, 1 -> 5
a : 256.0000, 2 -> 5
b : 194.0000, 2 -> 2
c : -459.0000, 2 -> 2
d : 196.0000, 2 -> 1
a : 189.0000, 3 -> 4
b : -978.0000, 3 -> 6
c : -177.0000, 3 -> 7
d : 228.0000, 3 -> 3
a : -393.0000, 4 -> 5
b : 912.0000, 4 -> 5
c : -952.0000, 4 -> 0
d : -871.0000, 4 -> 2
a : 581.0000, 5 -> 3
b : 433.0000, 5 -> 1
c : 361.0000, 5 -> 4
d : -620.0000, 5 -> 6
a : 886.0000, 6 -> 5
b : -977.0000, 6 -> 3
c : 541.0000, 6 -> 0
d : -545.0000, 6 -> 4
a : -366.0000, 7 -> 1
b : -280.0000, 7 -> 1
c : -492.0000, 7 -> 0
d : -987.0000, 7 -> 4
a : -209.0000, 0 -> 7
d : 372.0000, 0 -> 5
d : -55.0000, 1 -> 2
a : 472.0000, 1 -> 4
d : -528.0000, 2 -> 7
b : -362.0000, 2 -> 4
a : 621.0000, 3 -> 6
d : -26.0000, 3 -> 7
d : 932.0000, 4 -> 1
d : 109.0000, 4 -> 6
c : -734.0000, 5 -> 5
c : 64.0000, 5 -> 3
b : 951.0000, 6 -> 2
b : -388.0000, 6 -> 0
b : 802.0000, 7 -> 6
d : -754.0000, 7 -> 1
