a : -30.0000, 0 -> 1
b : -121.0000, 0 -> 3
a : 235.0000, 1 -> 5
b : 439.0000, 1 -> 4
a : -17.0000, 2 -> 4
b : -458.0000, 2 -> 6
a : 129.0000, 3 -> 0
b : 911.0000, 3 -> 4
a : 236.0000, 4 -> 4
b : 948.0000, 4 -> 4
a : -291.0000, 5 -> 1
b : 377.0000, 5 -> 3
a : 617.0000, 6 -> 4
b : -732.0000, 6 -> 4
a : 333.0000, 7 -> 5
b : 408.0000, 7 -> 3
a : -395.0000, 0 -> 4
a : -432.0000, 1 -> 7
b : -901.0000, 2 -> 4
b : -733.0000, 3 -> 6
b : 450.0000, 4 -> 3
a : 104.0000, 5 -> 2
b : 362.0000, 6 -> 5
b : 527.0000, 7 -> 1
