a : 374.0000, 0 -> 0
b : -679.0000, 0 -> 2
c : 959.0000, 0 -> 2
d : 39.0000, 0 -> 2
a : 49.0000, 1 -> 3
b : -623.0000, 1 -> 1
c : 773.0000, 1 -> 2
d : 561.0000, 1 -> 3
a : -303.0000, 2 -> 1
b : 942.0000, 2 -> 3
c : -862.0000, 2 -> 2
d : -947.0000, 2 -> 1
a : 468.0000, 3 -> 1
b : -142.0000, 3 -> 1
c : 882.0000, 3 -> 2
d : -334.0000, 3 -> 2
d : 170.0000, 0 -> 1
b : 438.0000, 0 -> 0
c : -399.0000, 1 -> 0
b : 904.0000, 1 -> 2
a : 370.0000, 2 -> 2
b : 591.0000, 2 -> 2
d : -419.0000, 3 -> 3
c : 831.0000, 3 -> 1
