a : 77.0000, 0 -> 0
b : -568.0000, 0 -> 4
c : -320.0000, 0 -> 1
d : -811.0000, 0 -> 1
a : 569.0000, 1 -> 5
b : 103.0000, 1 -> 4
c : -856.0000, 1 -> 2
d : 39.0000, 1 -> 5
a : -96.0000, 2 -> 0
b : 861.0000, 2 -> 3
c : 879.0000, 2 -> 3
d : 678.0000, 2 -> 3
a : -442.0000, 3 -> 5
b : 515.0000, 3 -> 3
c : -996.0000, 3 -> 5
d : 415.0000, 3 -> 5
a : 58.0000, 4 -> 1
b : -828.0000, 4 -> 5
c : -429.0000, 4 -> 4
d : -837.0000, 4 -> 4
a : -360.0000, 5 -> 2
b : -908.0000, 5 -> 1
c : -463.0000, 5 -> 3
d : -806.0000, 5 -> 3
c : 878.0000, 0 -> 5
b : 640.0000, 0 -> 5
d : -242.0000, 1 -> 4
b : 272.0000, 1 -> 3
d : 507.0000, 2 -> 1
c : 729.0000, 2 -> 5
d : 879.0000, 3 -> 3
a : -629.0000, 3 -> 3
b : -331.0000, 4 -> 4
d : 0.0000, 4 -> 5
a : 204.0000, 5 -> 4
a : -663.0000, 5 -> 1
