a : 899.0000, 0 -> 6
b : -10.0000, 0 -> 4
c : 738.0000, 0 -> 2
a : -611.0000, 1 -> 6
b : 633.0000, 1 -> 2
c : 905.0000, 1 -> 5
a : 944.0000, 2 -> 5
b : -588.0000, 2 -> 0
c : -66.0000, 2 -> 5
a : 564.0000, 3 -> 4
b : 755.0000, 3 -> 0
c : 272.0000, 3 -> 5
a : 979.0000, 4 -> 0
b : 255.0000, 4 -> 3
c : 564.0000, 4 -> 3
a : -246.0000, 5 -> 3
b : 347.0000, 5 -> 2
c : -378.0000, 5 -> 6
a : -522.0000, 6 -> 6
b : -121.0000, 6 -> 6
c : 405.0000, 6 -> 5
c : 128.0000, 0 -> 0
a : 781.0000, 1 -> 1
a : 872.0000, 2 -> 6
a : 441.0000, 3 -> 1
b : -257.0000, 4 -> 6
a : -650.0000, 5 -> 1
a : 522.0000, 6 -> 3
