a : -693.0000, 0 -> 2
b : -77.0000, 0 -> 3
c : 60.0000, 0 -> 2
d : 376.0000, 0 -> 1
a : 788.0000, 1 -> 1
b : -535.0000, 1 -> 0
c : 518.0000, 1 -> 0
d : -230.0000, 1 -> 1
a : -762.0000, 2 -> 3
b : 936.0000, 2 -> 1
c : 9.0000, 2 -> 0
d : -961.0000, 2 -> 3
a : -437.0000, 3 -> 1
b : -358.0000, 3 -> 2
c : 0.0000, 3 -> 1
d : -79.0000, 3 -> 2
d : 953.0000, 0 -> 2
a : 39.0000, 0 -> 1
a : -773.0000, 1 -> 0
d : -45.0000, 1 -> 0
b : -890.0000, 2 -> 2
b : 955.0000, 2 -> 3
a : -660.0000, 3 -> 3
c : -667.0000, 3 -> 2
