a : 619.0000, 0 -> 1
b : 20.0000, 0 -> 3
c : 694.0000, 0 -> 6
d : 540.0000, 0 -> 2
a : 202.0000, 1 -> 6
b : 313.0000, 1 -> 1
c : -203.0000, 1 -> 3
d : -21.0000, 1 -> 6
a : 965.0000, 2 -> 3
b : 643.0000, 2 -> 1
c : -650.0000, 2 -> 1
d : -848.0000, 2 -> 3
a : 614.0000, 3 -> 1
b : -262.0000, 3 -> 3
c : -65.0000, 3 -> 5
d : -52.0000, 3 -> 4
a : 751.0000, 4 -> 6
b : -567.0000, 4 -> 0
c : 14.0000, 4 -> 1
d : -935.0000, 4 -> 6
a : 661.0000, 5 -> 1
b : -185.0000, 5 -> 4
c : 622.0000, 5 -> 6
d : -603.0000, 5 -> 4
a : -347.0000, 6 -> 6
b : 324.0000, 6 -> 6
c : 600.0000, 6 -> 6
d : 959.0000, 6 -> 1
b : -626.0000, 0 -> 4
a : 177.0000, 0 -> 6
a : 424.0000, 1 -> 2
a : 388.0000, 1 -> 5
d : 567.0000, 2 -> 6
a : -310.0000, 2 -> 5
c : 135.0000, 3 -> 4
d : 540.0000, 3 -> 0
d : -834.0000, 4 -> 3
d : 918.0000, 4 -> 4
d : -440.0000, 5 -> 3
b : -666.0000, 5 -> 0
a : -924.0000, 6 -> 0
a : 478.0000, 6 -> 5
