a : -328.0000, 0 -> 6
b : -554.0000, 0 -> 6
a : 146.0000, 1 -> 4
b : 293.0000, 1 -> 0
a : -953.0000, 2 -> 1
b : 99.0000, 2 -> 5
a : 344.0000, 3 -> 6
b : 405.0000, 3 -> 7
a : -6.0000, 4 -> 4
b : -574.0000, 4 -> 1
a : 462.0000, 5 -> 7
b : -184.0000, 5 -> 6
a : -129.0000, 6 -> 7
b : -107.0000, 6 -> 5
a : -730.0000, 7 -> 6
b : -567.0000, 7 -> 4
a : 794.0000, 0 -> 1
b : -171.0000, 1 -> 7
b : 974.0000, 2 -> 2
b : -340.0000, 3 -> 0
b : 684.0000, 4 -> 4
b : -282.0000, 5 -> 5
b : 448.0000, 6 -> 1
a : 973.0000, 7 -> 7
a : -13.0000, 6 -> 2
a : -64.0000, 7 -> 3
