a : -735.0000, 0 -> 4
b : -589.0000, 0 -> 3
c : 704.0000, 0 -> 1
d : 523.0000, 0 -> 0
a : -959.0000, 1 -> 3
b : 865.0000, 1 -> 5
c : -698.0000, 1 -> 3
d : 758.0000, 1 -> 4
a : -660.0000, 2 -> 2
b : -626.0000, 2 -> 1
c : 302.0000, 2 -> 5
d : -935.0000, 2 -> 1
a : 361.0000, 3 -> 2
b : 844.0000, 3 -> 1
c : 712.0000, 3 -> 5
d : -827.0000, 3 -> 3
a : 700.0000, 4 -> 1
b : 427.0000, 4 -> 1
c : 951.0000, 4 -> 3
d : 685.0000, 4 -> 3
a : 865.0000, 5 -> 3
b : -182.0000, 5 -> 1
c : 597.0000, 5 -> 5
d : -623.0000, 5 -> 1
a : 786.0000, 0 -> 1
d : 994.0000, 0 -> 4
b : 901.0000, 1 -> 3
c : -521.0000, 1 -> 2
b : 599.0000, 2 -> 5
c : -819.0000, 2 -> 3
d : 186.0000, 3 -> 2
a : -639.0000, 3 -> 5
a : 692.0000, 4 -> 2
b : -400.0000, 4 -> 0
b : -505.0000, 5 -> 4
c : -636.0000, 5 -> 0
