a : 583.0000, 0 -> 3
b : 251.0000, 0 -> 4
c : 57.0000, 0 -> 0
a : 239.0000, 1 -> 0
b : 725.0000, 1 -> 1
c : -835.0000, 1 -> 4
a : 646.0000, 2 -> 3
b : -665.0000, 2 -> 3
c : 910.0000, 2 -> 0
a : -796.0000, 3 -> 2
b : 238.0000, 3 -> 0
c : 13.0000, 3 -> 2
a : 193.0000, 4 -> 0
b : -218.0000, 4 -> 0
c : -244.0000, 4 -> 0
a : 915.0000, 5 -> 2
b : 90.0000, 5 -> 0
c : 462.0000, 5 -> 4
b : 426.0000, 0 -> 0
b : 174.0000, 1 -> 5
a : -256.0000, 2 -> 0
c : 66.0000, 3 -> 5
a : -898.0000, 4 -> 1
c : -435.0000, 5 -> 0
