a : -112.0000, 0 -> 0
b : 333.0000, 0 -> 7
c : 430.0000, 0 -> 2
d : 359.0000, 0 -> 2
a : -154.0000, 1 -> 5
b : 62.0000, 1 -> 0
c : -407.0000, 1 -> 7
d : 952.0000, 1 -> 1
a : 577.0000, 2 -> 1
b : 533.0000, 2 -> 5
c : 857.0000, 2 -> 7
d : -244.0000, 2 -> 1
a : 871.0000, 3 -> 0
b : 354.0000, 3 -> 5
c : -176.0000, 3 -> 4
d : -391.0000, 3 -> 3
a : -272.0000, 4 -> 4
b : 602.0000, 4 -> 1
c : 62.0000, 4 -> 6
d : 648.0000, 4 -> 5
a : -42.0000, 5 -> 3
b : 301.0000, 5 -> 7
c : -10.0000, 5 -> 3
d : -470.0000, 5 -> 4
a : -872.0000, 6 -> 0
b : 43.0000, 6 -> 1
c : -400.0000, 6 -> 2
d : -137.0000, 6 -> 7
a : -758.0000, 7 -> 5
b : -144.0000, 7 -> 7
c : 89.0000, 7 -> 3
d : -526.0000, 7 -> 0
d : 883.0000, 0 -> 6
c : 494.0000, 0 -> 0
c : 384.0000, 1 -> 1
c : 292.0000, 1 -> 5
d : -82.0000, 2 -> 6
c : 791.0000, 2 -> 3
c : 655.0000, 3 -> 1
a : -403.0000, 3 -> 6
a : -448.0000, 4 -> 6
b : 932.0000, 4 -> 5
b : -894.0000, 5 -> 1
a : -360.0000, 5 -> 2
d : 684.0000, 6 -> 6
c : -389.0000, 6 -> 1
d : -634.0000, 7 -> 1
c : -429.0000, 7 -> 4
