a : -484.0000, 0 -> 4
b : -709.0000, 0 -> 4
c : 252.0000, 0 -> 3
a : -44.0000, 1 -> 2
b : 467.0000, 1 -> 0
c : -923.0000, 1 -> 1
a : 879.0000, 2 -> 2
b : -29.0000, 2 -> 0
c : 736.0000, 2 -> 0
a : 333.0000, 3 -> 6
b : -755.0000, 3 -> 1
c : 644.0000, 3 -> 7
a : 296.0000, 4 -> 7
b : 512.0000, 4 -> 0
c : 48.0000, 4 -> 7
a : -43.0000, 5 -> 5
b : 96.0000, 5 -> 0
c : 286.0000, 5 -> 7
a : -659.0000, 6 -> 0
b : 878.0000, 6 -> 3
c : -650.0000, 6 -> 7
a : 932.0000, 7 -> 5
b : -908.0000, 7 -> 6
c : 274.0000, 7 -> 3
a : -467.0000, 0 -> 3
a : 844.0000, 1 -> 1
a : -109.0000, 2 -> 1
b : 500.0000, 3 -> 4
a : 240.0000, 4 -> 6
a : 297.0000, 5 -> 0
c : -429.0000, 6 -> 0
c : -601.0000, 7 -> 0
