a : 545.0000, 0 -> 4
b : 904.0000, 0 -> 6
c : 144.0000, 0 -> 0
d : 839.0000, 0 -> 4
a : -409.0000, 1 -> 4
b : 693.0000, 1 -> 5
c : -572.0000, 1 -> 6
d : 865.0000, 1 -> 0
a : 899.0000, 2 -> 5
b : 154.0000, 2 -> 2
c : -396.0000, 2 -> 3
d : -771.0000, 2 -> 6
a : -319.0000, 3 -> 4
b : -266.0000, 3 -> 3
c : -518.0000, 3 -> 4
d : 581.0000, 3 -> 2
a : 133.0000, 4 -> 1
b : -278.0000, 4 -> 4
c : -373.0000, 4 -> 4
d : 311.0000, 4 -> 5
a : -352.0000, 5 -> 6
b : -249.0000, 5 -> 0
c : -401.0000, 5 -> 3
d : -941.0000, 5 -> 5
a : -940.0000, 6 -> 4
b : -564.0000, 6 -> 3
c : 615.0000, 6 -> 4
d : -371.0000, 6 -> 3
a : 659.0000, 0 -> 5
d : -265.0000, 0 -> 6
d : -891.0000, 1 -> 5
a : -653.0000, 1 -> 6
a : 56.0000, 2 -> 2
a : -202.0000, 2 -> 6
b : 138.0000, 3 -> 1
b : 877.0000, 3 -> 2
c : -25.0000, 4 -> 6
d : -191.0000, 4 -> 3
d : 653.0000, 5 -> 1
c : -79.0000, 5 -> 5
a : 298.0000, 6 -> 1
c : 6.0000, 6 -> 3
