a : -105.0000, 0 -> 2
b : 209.0000, 0 -> 5
c : 666.0000, 0 -> 4
d : -305.0000, 0 -> 4
a : -659.0000, 1 -> 4
b : 80.0000, 1 -> 0
c : 801.0000, 1 -> 2
d : 379.0000, 1 -> 5
a : -248.0000, 2 -> 3
b : 639.0000, 2 -> 5
c : 333.0000, 2 -> 1
d : 863.0000, 2 -> 2
a : -215.0000, 3 -> 0
b : -808.0000, 3 -> 5
c : -796.0000, 3 -> 0
d : -599.0000, 3 -> 4
a : -376.0000, 4 -> 2
b : 902.0000, 4 -> 2
c : -506.0000, 4 -> 0
d : 295.0000, 4 -> 1
a : 74.0000, 5 -> 1
b : -408.0000, 5 -> 2
c : -671.0000, 5 -> 1
d : -587.0000, 5 -> 5
b : -679.0000, 0 -> 3
d : -652.0000, 0 -> 2
b : -517.0000, 1 -> 1
d : 628.0000, 1 -> 0
b : 345.0000, 2 -> 3
d : -842.0000, 2 -> 1
a : 249.0000, 3 -> 4
c : 307.0000, 3 -> 1
a : -612.0000, 4 -> 3
c : -948.0000, 4 -> 1
d : 922.0000, 5 -> 0
a : -963.0000, 5 -> 3
