a : -162.0000, 0 -> 7
b : -338.0000, 0 -> 3
a : -332.0000, 1 -> 4
b : -36.0000, 1 -> 2
a : 930.0000, 2 -> 3
b : -373.0000, 2 -> 1
a : 571.0000, 3 -> 6
b : 926.0000, 3 -> 1
a : -896.0000, 4 -> 3
b : -610.0000, 4 -> 5
a : 127.0000, 5 -> 4
b : -499.0000, 5 -> 6
a : -995.0000, 6 -> 2
b : -237.0000, 6 -> 2
a : 826.0000, 7 -> 4
b : 375.0000, 7 -> 6
b : -280.0000, 0 -> 2
a : 1000.0000, 1 -> 5
a : -437.0000, 2 -> 1
b : -121.0000, 3 -> 4
b : -558.0000, 4 -> 4
b : 751.0000, 5 -> 3
b : -430.0000, 6 -> 4
a : -706.0000, 7 -> 0
