a : -411.0000, 0 -> 4
b : 60.0000, 0 -> 1
c : 652.0000, 0 -> 5
d : -69.0000, 0 -> 5
a : -913.0000, 1 -> 3
b : 122.0000, 1 -> 1
c : -293.0000, 1 -> 5
d : -482.0000, 1 -> 4
a : -573.0000, 2 -> 2
b : -424.0000, 2 -> 0
c : 446.0000, 2 -> 2
d : -594.0000, 2 -> 4
a : 165.0000, 3 -> 2
b : 409.0000, 3 -> 4
c : -412.0000, 3 -> 5
d : -555.0000, 3 -> 4
a : 264.0000, 4 -> 4
b : -176.0000, 4 -> 5
c : 115.0000, 4 -> 5
d : -995.0000, 4 -> 3
a : -874.0000, 5 -> 5
b : 156.0000, 5 -> 5
c : -316.0000, 5 -> 0
d : -739.0000, 5 -> 5
d : 344.0000, 0 -> 3
a : 826.0000, 0 -> 5
d : -255.0000, 1 -> 2
d : 552.0000, 1 -> 5
d : 118.0000, 2 -> 2
c : -819.0000, 2 -> 1
a : 179.0000, 3 -> 1
c : -380.0000, 3 -> 1
b : 439.0000, 4 -> 1
a : 282.0000, 4 -> 1
c : -559.0000, 5 -> 2
c : 39.0000, 5 -> 5
