a : 669.0000, 0 -> 4
b : -840.0000, 0 -> 2
c : 388.0000, 0 -> 4
d : 734.0000, 0 -> 2
a : 704.0000, 1 -> 2
b : 236.0000, 1 -> 2
c : -726.0000, 1 -> 3
d : 503.0000, 1 -> 4
a : 75.0000, 2 -> 4
b : 659.0000, 2 -> 0
c : -227.0000, 2 -> 0
d : -309.0000, 2 -> 0
a : -117.0000, 3 -> 4
b : 698.0000, 3 -> 1
c : 684.0000, 3 -> 4
d : 166.0000, 3 -> 3
a : -994.0000, 4 -> 1
b : 25.0000, 4 -> 0
c : 350.0000, 4 -> 3
d : 46.0000, 4 -> 3
a : -970.0000, 0 -> 1
a : -177.0000, 0 -> 3
b : -63.0000, 1 -> 4
d : -120.0000, 1 -> 2
d : -548.0000, 2 -> 1
d : -994.0000, 2 -> 3
b : -901.0000, 3 -> 4
b : 845.0000, 3 -> 0
c : -879.0000, 4 -> 1
d : 178.0000, 4 -> 1
