a : -245.0000, 0 -> 4
b : 377.0000, 0 -> 2
c : 907.0000, 0 -> 6
d : 704.0000, 0 -> 5
a : -377.0000, 1 -> 7
b : 518.0000, 1 -> 3
c : 334.0000, 1 -> 4
d : 235.0000, 1 -> 1
a : 951.0000, 2 -> 7
b : 113.0000, 2 -> 0
c : 126.0000, 2 -> 0
d : 660.0000, 2 -> 5
a : -656.0000, 3 -> 4
b : -276.0000, 3 -> 0
c : 519.0000, 3 -> 4
d : 849.0000, 3 -> 0
a : 309.0000, 4 -> 5
b : 46.0000, 4 -> 6
c : -143.0000, 4 -> 2
d : 88.0000, 4 -> 7
a : -349.0000, 5 -> 3
b : -152.0000, 5 -> 5
c : 353.0000, 5 -> 5
d : -668.0000, 5 -> 7
a : 425.0000, 6 -> 3
b : 420.0000, 6 -> 4
c : 761.0000, 6 -> 7
d : 327.0000, 6 -> 4
a : -961.0000, 7 -> 1
b : 735.0000, 7 -> 6
c : -72.0000, 7 -> 3
d : -122.0000, 7 -> 0
a : 673.0000, 0 -> 0
b : 329.0000, 0 -> 3
a : -667.0000, 1 -> 1
a : 121.0000, 1 -> 6
a : 485.0000, 2 -> 6
c : -865.0000, 2 -> 5
d : 893.0000, 3 -> 4
c : -216.0000, 3 -> 1
c : 284.0000, 4 -> 3
a : 814.0000, 4 -> 4
a : -704.0000, 5 -> 7
d : 667.0000, 5 -> 6
b : -385.0000, 6 -> 2
b : -708.0000, 6 -> 6
b : -983.0000, 7 -> 0
d : -634.0000, 7 -> 2
