a : -525.0000, 0 -> 5
b : -257.0000, 0 -> 5
c : -821.0000, 0 -> 1
d : 559.0000, 0 -> 1
a : 623.0000, 1 -> 4
b : -691.0000, 1 -> 5
c : 44.0000, 1 -> 5
d : 546.0000, 1 -> 0
a : 602.0000, 2 -> 7
b : -673.0000, 2 -> 1
c : 776.0000, 2 -> 0
d : -560.0000, 2 -> 5
a : -696.0000, 3 -> 6
b : -123.0000, 3 -> 1
c : 388.0000, 3 -> 4
d : 614.0000, 3 -> 1
a : -348.0000, 4 -> 4
b : 440.0000, 4 -> 5
c : 435.0000, 4 -> 1
d : 667.0000, 4 -> 2
a : -237.0000, 5 -> 0
b : -858.0000, 5 -> 2
c : -802.0000, 5 -> 6
d : -697.0000, 5 -> 4
a : 746.0000, 6 -> 6
b : -696.0000, 6 -> 5
c : -171.0000, 6 -> 2
d : -409.0000, 6 -> 5
a : 937.0000, 7 -> 5
b : 443.0000, 7 -> 2
c : -537.0000, 7 -> 1
d : -709.0000, 7 -> 4
c : 313.0000, 0 -> 0
d : 540.0000, 0 -> 2
c : -61.0000, 1 -> 2
a : -289.0000, 1 -> 0
b : 867.0000, 2 -> 4
c : 253.0000, 2 -> 5
d : 455.0000, 3 -> 3
d : 931.0000, 3 -> 2
b : 497.0000, 4 -> 2
c : 663.0000, 4 -> 2
c : -475.0000, 5 -> 7
d : 651.0000, 5 -> 6
a : -837.0000, 6 -> 0
d : 869.0000, 6 -> 4
b : -632.0000, 7 -> 1
c : -690.0000, 7 -> 6
d : 256.0000, 7 -> 3
