a : -823.0000, 0 -> 3
b : 308.0000, 0 -> 1
c : -726.0000, 0 -> 0
d : 892.0000, 0 -> 3
a : -620.0000, 1 -> 6
b : 798.0000, 1 -> 6
c : 667.0000, 1 -> 1
d : 296.0000, 1 -> 3
a : 675.0000, 2 -> 1
b : -241.0000, 2 -> 4
c : 878.0000, 2 -> 4
d : -911.0000, 2 -> 6
a : -839.0000, 3 -> 1
b : -911.0000, 3 -> 1
c : -763.0000, 3 -> 4
d : 562.0000, 3 -> 1
a : 15.0000, 4 -> 0
b : -212.0000, 4 -> 6
c : -45.0000, 4 -> 6
d : -614.0000, 4 -> 4
a : 119.0000, 5 -> 4
b : -519.0000, 5 -> 4
c : 4.0000, 5 -> 2
d : -67.0000, 5 -> 0
a : 115.0000, 6 -> 6
b : -308.0000, 6 -> 4
c : -137.0000, 6 -> 0
d : -698.0000, 6 -> 2
b : 491.0000, 0 -> 5
c : -868.0000, 0 -> 6
d : 182.0000, 1 -> 1
a : 341.0000, 1 -> 0
d : -330.0000, 2 -> 4
a : 138.0000, 2 -> 6
d : 867.0000, 3 -> 0
d : 980.0000, 3 -> 3
c : -366.0000, 4 -> 5
d : 453.0000, 4 -> 1
a : 231.0000, 5 -> 1
b : -421.0000, 5 -> 2
d : 911.0000, 6 -> 6
c : 383.0000, 6 -> 4
