a : 246.0000, 0 -> 3
b : -236.0000, 0 -> 1
c : 802.0000, 0 -> 1
d : -781.0000, 0 -> 2
a : -263.0000, 1 -> 1
b : 986.0000, 1 -> 0
c : 308.0000, 1 -> 1
d : 55.0000, 1 -> 3
a : -749.0000, 2 -> 4
b : 264.0000, 2 -> 0
c : -933.0000, 2 -> 2
d : -65.0000, 2 -> 5
a : 635.0000, 3 -> 1
b : -712.0000, 3 -> 0
c : -910.0000, 3 -> 2
d : -524.0000, 3 -> 3
a : -31.0000, 4 -> 1
b : -450.0000, 4 -> 1
c : 286.0000, 4 -> 4
d : -750.0000, 4 -> 5
a : -277.0000, 5 -> 2
b : -753.0000, 5 -> 0
c : 733.0000, 5 -> 4
d : 691.0000, 5 -> 4
b : -280.0000, 0 -> 0
c : -589.0000, 0 -> 4
b : 113.0000, 1 -> 4
d : 964.0000, 1 -> 0
c : 406.0000, 2 -> 5
c : 405.0000, 2 -> 0
c : 778.0000, 3 -> 5
d : 23.0000, 3 -> 5
a : -206.0000, 4 -> 5
a : 382.0000, 4 -> 4
c : -580.0000, 5 -> 1
a : -200.0000, 5 -> 1
