a : -730.0000, 0 -> 4
b : 393.0000, 0 -> 2
c : 944.0000, 0 -> 4
a : -983.0000, 1 -> 5
b : -885.0000, 1 -> 3
c : -599.0000, 1 -> 0
a : 403.0000, 2 -> 4
b : 683.0000, 2 -> 2
c : 87.0000, 2 -> 2
a : 559.0000, 3 -> 3
b : -430.0000, 3 -> 4
c : -139.0000, 3 -> 0
a : -439.0000, 4 -> 4
b : 874.0000, 4 -> 1
c : 325.0000, 4 -> 2
a : 631.0000, 5 -> 3
b : 568.0000, 5 -> 3
c : 5.0000, 5 -> 2
c : -542.0000, 0 -> 5
b : 873.0000, 1 -> 5
c : -247.0000, 2 -> 4
c : 36.0000, 3 -> 3
a : -114.0000, 4 -> 0
b : 326.0000, 5 -> 2
