a : 460.0000, 0 -> 7
b : 325.0000, 0 -> 0
c : -404.0000, 0 -> 7
a : -483.0000, 1 -> 0
b : -279.0000, 1 -> 5
c : 39.0000, 1 -> 0
a : 390.0000, 2 -> 0
b : 615.0000, 2 -> 7
c : 412.0000, 2 -> 5
a : -852.0000, 3 -> 5
b : -387.0000, 3 -> 0
c : 674.0000, 3 -> 5
a : -493.0000, 4 -> 0
b : 697.0000, 4 -> 0
c : 408.0000, 4 -> 1
a : 150.0000, 5 -> 2
b : -685.0000, 5 -> 5
c : -83.0000, 5 -> 6
a : 668.0000, 6 -> 1
b : -592.0000, 6 -> 5
c : -650.0000, 6 -> 3
a : -418.0000, 7 -> 7
b : -303.0000, 7 -> 4
c : -357.0000, 7 -> 4
c : -371.0000, 0 -> 1
b : -10.0000, 1 -> 7
a : 907.0000, 2 -> 3
c : 698.0000, 3 -> 6
b : -213.0000, 4 -> 4
a : 350.0000, 5 -> 3
c : 538.0000, 6 -> 6
a : -1.0000, 7 -> 1
