a : 460.0000, 0 -> 1
b : 757.0000, 0 -> 4
c : -348.0000, 0 -> 1
a : 820.0000, 1 -> 1
b : -601.0000, 1 -> 3
c : 770.0000, 1 -> 5
a : -723.0000, 2 -> 0
b : -58.0000, 2 -> 4
c : -322.0000, 2 -> 2
a : -212.0000, 3 -> 0
b : 967.0000, 3 -> 1
c : -629.0000, 3 -> 5
a : 951.0000, 4 -> 4
b : 470.0000, 4 -> 2
c : 324.0000, 4 -> 4
a : 29.0000, 5 -> 3
b : 74.0000, 5 -> 2
c : 471.0000, 5 -> 1
a : 481.0000, 0 -> 0
b : -884.0000, 1 -> 0
b : 300.0000, 2 -> 5
c : 731.0000, 3 -> 2
b : 504.0000, 4 -> 0
a : -925.0000, 5 -> 1
