a : -403.0000, 0 -> 1
b : 348.0000, 0 -> 3
c : 164.0000, 0 -> 0
d : 437.0000, 0 -> 1
a : -438.0000, 1 -> 3
b : -682.0000, 1 -> 1
c : 17.0000, 1 -> 3
d : 402.0000, 1 -> 0
a : 834.0000, 2 -> 1
b : 298.0000, 2 -> 2
c : -760.0000, 2 -> 3
d : -366.0000, 2 -> 0
a : 130.0000, 3 -> 3
b : -521.0000, 3 -> 2
c : 233.0000, 3 -> 3
d : 814.0000, 3 -> 1
a : -612.0000, 0 -> 0
c : 887.0000, 0 -> 3
d : 488.0000, 1 -> 1
a : 282.0000, 1 -> 2
d : -226.0000, 2 -> 2
d : -534.0000, 2 -> 3
d : -288.0000, 3 -> 2
b : 583.0000, 3 -> 0
