a : -538.0000, 0 -> 2
b : 437.0000, 0 -> 5
c : -486.0000, 0 -> 0
a : -864.0000, 1 -> 3
b : -529.0000, 1 -> 3
c : 979.0000, 1 -> 1
a : 603.0000, 2 -> 0
b : 592.0000, 2 -> 1
c : 878.0000, 2 -> 2
a : 190.0000, 3 -> 5
b : -2.0000, 3 -> 1
c : 609.0000, 3 -> 1
a : 645.0000, 4 -> 1
b : -225.0000, 4 -> 2
c : -848.0000, 4 -> 4
a : 836.0000, 5 -> 2
b : 460.0000, 5 -> 2
c : -307.0000, 5 -> 4
c : -759.0000, 0 -> 1
b : -954.0000, 1 -> 0
a : -937.0000, 2 -> 2
a : 696.0000, 3 -> 4
b : 909.0000, 4 -> 5
b : 471.0000, 5 -> 0
