a : 435.0000, 0 -> 0
b : 46.0000, 0 -> 0
c : 219.0000, 0 -> 5
d : 629.0000, 0 -> 4
a : -654.0000, 1 -> 0
b : 110.0000, 1 -> 4
c : -364.0000, 1 -> 0
d : -502.0000, 1 -> 5
a : 164.0000, 2 -> 3
b : 923.0000, 2 -> 5
c : 549.0000, 2 -> 1
d : -994.0000, 2 -> 0
a : -72.0000, 3 -> 3
b : -888.0000, 3 -> 1
c : 917.0000, 3 -> 1
d : -206.0000, 3 -> 0
a : 456.0000, 4 -> 4
b : 258.0000, 4 -> 0
c : 175.0000, 4 -> 4
d : -848.0000, 4 -> 5
a : 774.0000, 5 -> 4
b : 827.0000, 5 -> 5
c : -404.0000, 5 -> 0
d : -422.0000, 5 -> 2
d : -898.0000, 0 -> 0
a : -675.0000, 0 -> 1
d : -865.0000, 1 -> 2
b : 150.0000, 1 -> 5
d : 519.0000, 2 -> 3
d : -802.0000, 2 -> 5
a : 387.0000, 3 -> 4
d : 963.0000, 3 -> 1
a : -912.0000, 4 -> 5
b : 399.0000, 4 -> 3
d : 601.0000, 5 -> 1
a : 702.0000, 5 -> 5
