a : -825.0000, 0 -> 2
b : -80.0000, 0 -> 1
c : -42.0000, 0 -> 3
d : 606.0000, 0 -> 1
a : 697.0000, 1 -> 0
b : -745.0000, 1 -> 3
c : 403.0000, 1 -> 4
d : -462.0000, 1 -> 5
a : -877.0000, 2 -> 1
b : 211.0000, 2 -> 5
c : -280.0000, 2 -> 3
d : -238.0000, 2 -> 1
a : 48.0000, 3 -> 2
b : 302.0000, 3 -> 6
c : -448.0000, 3 -> 4
d : 182.0000, 3 -> 1
a : 241.0000, 4 -> 0
b : 144.0000, 4 -> 0
c : 98.0000, 4 -> 2
d : 915.0000, 4 -> 1
a : 781.0000, 5 -> 0
b : 602.0000, 5 -> 1
c : 144.0000, 5 -> 1
d : 289.0000, 5 -> 6
a : -857.0000, 6 -> 5
b : -428.0000, 6 -> 2
c : 404.0000, 6 -> 2
d : 84.0000, 6 -> 3
a : -780.0000, 0 -> 4
b : 389.0000, 0 -> 0
d : -639.0000, 1 -> 1
a : -483.0000, 1 -> 6
b : -198.0000, 2 -> 3
a : -478.0000, 2 -> 4
a : -353.0000, 3 -> 1
b : 812.0000, 3 -> 0
c : 369.0000, 4 -> 5
c : 632.0000, 4 -> 6
b : -104.0000, 5 -> 4
c : -11.0000, 5 -> 6
c : 474.0000, 6 -> 1
a : -327.0000, 6 -> 3
