a : -862.0000, 0 -> 4
b : -246.0000, 0 -> 2
c : 103.0000, 0 -> 1
d : -938.0000, 0 -> 1
a : 108.0000, 1 -> 4
b : 16.0000, 1 -> 5
c : 51.0000, 1 -> 3
d : -13.0000, 1 -> 1
a : -990.0000, 2 -> 2
b : 739.0000, 2 -> 3
c : 806.0000, 2 -> 0
d : 120.0000, 2 -> 1
a : 244.0000, 3 -> 2
b : 138.0000, 3 -> 3
c : 847.0000, 3 -> 3
d : 898.0000, 3 -> 5
a : -813.0000, 4 -> 2
b : -12.0000, 4 -> 3
c : -740.0000, 4 -> 0
d : 611.0000, 4 -> 0
a : -808.0000, 5 -> 5
b : -460.0000, 5 -> 2
c : -318.0000, 5 -> 0
d : -699.0000, 5 -> 5
d : -891.0000, 0 -> 0
c : 963.0000, 0 -> 3
a : -696.0000, 1 -> 5
a : 670.0000, 1 -> 3
a : -939.0000, 2 -> 1
d : -563.0000, 2 -> 3
d : -585.0000, 3 -> 3
c : 537.0000, 3 -> 1
b : 409.0000, 4 -> 0
a : 47.0000, 4 -> 3
b : -925.0000, 5 -> 0
a : 952.0000, 5 -> 1
