a : -143.0000, 0 -> 5
b : -705.0000, 0 -> 3
c : -299.0000, 0 -> 5
a : -103.0000, 1 -> 4
b : 41.0000, 1 -> 3
c : -505.0000, 1 -> 6
a : -458.0000, 2 -> 6
b : 573.0000, 2 -> 0
c : -925.0000, 2 -> 5
a : -84.0000, 3 -> 1
b : -89.0000, 3 -> 6
c : 503.0000, 3 -> 5
a : -525.0000, 4 -> 2
b : -670.0000, 4 -> 4
c : -864.0000, 4 -> 6
a : -886.0000, 5 -> 2
b : -146.0000, 5 -> 2
c : -728.0000, 5 -> 1
a : 195.0000, 6 -> 2
b : -538.0000, 6 -> 1
c : 115.0000, 6 -> 1
a : -218.0000, 0 -> 2
a : 243.0000, 1 -> 0
a : -237.0000, 2 -> 2
b : -932.0000, 3 -> 5
a : -629.0000, 4 -> 6
c : -584.0000, 5 -> 3
a : 929.0000, 6 -> 3
