a : -299.0000, 0 -> 0
b : -50.0000, 0 -> 7
c : -981.0000, 0 -> 1
a : -127.0000, 1 -> 7
b : -890.0000, 1 -> 6
c : -617.0000, 1 -> 2
a : 798.0000, 2 -> 5
b : -963.0000, 2 -> 0
c : 339.0000, 2 -> 3
a : -111.0000, 3 -> 4
b : -774.0000, 3 -> 0
c : -29.0000, 3 -> 4
a : 64.0000, 4 -> 1
b : -491.0000, 4 -> 1
c : -576.0000, 4 -> 4
a : -142.0000, 5 -> 2
b : -390.0000, 5 -> 6
c : -560.0000, 5 -> 2
a : 357.0000, 6 -> 5
b : -75.0000, 6 -> 5
c : 871.0000, 6 -> 1
a : -463.0000, 7 -> 7
b : 161.0000, 7 -> 2
c : 705.0000, 7 -> 3
b : -624.0000, 0 -> 5
c : 38.0000, 1 -> 7
a : -677.0000, 2 -> 6
b : -910.0000, 3 -> 4
b : -439.0000, 4 -> 7
a : -762.0000, 5 -> 5
a : -235.0000, 6 -> 4
b : -19.0000, 7 -> 4
