a : 87.0000, 0 -> 5
b : 96.0000, 0 -> 5
c : 452.0000, 0 -> 3
a : -748.0000, 1 -> 4
b : 947.0000, 1 -> 6
c : 823.0000, 1 -> 0
a : 789.0000, 2 -> 5
b : 33.0000, 2 -> 0
c : -586.0000, 2 -> 5
a : -432.0000, 3 -> 1
b : -352.0000, 3 -> 2
c : 622.0000, 3 -> 1
a : -981.0000, 4 -> 6
b : 781.0000, 4 -> 4
c : -737.0000, 4 -> 3
a : -6.0000, 5 -> 1
b : 711.0000, 5 -> 2
c : 890.0000, 5 -> 0
a : -757.0000, 6 -> 5
b : -155.0000, 6 -> 3
c : -43.0000, 6 -> 3
a : -935.0000, 7 -> 0
b : -456.0000, 7 -> 6
c : 772.0000, 7 -> 6
c : -308.0000, 0 -> 7
c : 821.0000, 1 -> 5
a : 372.0000, 2 -> 6
b : -736.0000, 3 -> 7
c : -840.0000, 4 -> 7
c : 832.0000, 5 -> 1
c : -897.0000, 6 -> 6
b : 291.0000, 7 -> 4
