a : -962.0000, 0 -> 4
b : -875.0000, 0 -> 6
c : 457.0000, 0 -> 6
d : 452.0000, 0 -> 5
a : -989.0000, 1 -> 3
b : -927.0000, 1 -> 4
c : 408.0000, 1 -> 5
d : 500.0000, 1 -> 6
a : 453.0000, 2 -> 0
b : 603.0000, 2 -> 5
c : -126.0000, 2 -> 6
d : 837.0000, 2 -> 6
a : 730.0000, 3 -> 5
b : -551.0000, 3 -> 2
c : -890.0000, 3 -> 5
d : -331.0000, 3 -> 3
a : 732.0000, 4 -> 3
b : 699.0000, 4 -> 1
c : -65.0000, 4 -> 5
d : -925.0000, 4 -> 1
a : 186.0000, 5 -> 6
b : -498.0000, 5 -> 4
c : -526.0000, 5 -> 1
d : 630.0000, 5 -> 6
a : -531.0000, 6 -> 4
b : -485.0000, 6 -> 0
c : 571.0000, 6 -> 6
d : 549.0000, 6 -> 5
b : 821.0000, 0 -> 5
d : 870.0000, 0 -> 1
d : 788.0000, 1 -> 1
c : 61.0000, 1 -> 2
a : -954.0000, 2 -> 2
b : 254.0000, 2 -> 0
d : -443.0000, 3 -> 2
b : 149.0000, 3 -> 5
a : 402.0000, 4 -> 5
b : 539.0000, 4 -> 5
c : -867.0000, 5 -> 4
d : 795.0000, 5 -> 0
b : -999.0000, 6 -> 3
c : 24.0000, 6 -> 1
