a : 242.0000, 0 -> 4
b : 38.0000, 0 -> 7
c : -192.0000, 0 -> 0
a : 30.0000, 1 -> 4
b : 750.0000, 1 -> 2
c : -547.0000, 1 -> 3
a : -161.0000, 2 -> 3
b : 802.0000, 2 -> 7
c : -186.0000, 2 -> 4
a : 264.0000, 3 -> 6
b : -45.0000, 3 -> 0
c : 481.0000, 3 -> 1
a : 630.0000, 4 -> 3
b : -707.0000, 4 -> 3
c : -756.0000, 4 -> 0
a : 876.0000, 5 -> 5
b : -862.0000, 5 -> 1
c : 623.0000, 5 -> 0
a : 365.0000, 6 -> 3
b : -947.0000, 6 -> 4
c : -27.0000, 6 -> 4
a : 63.0000, 7 -> 2
b : -209.0000, 7 -> 7
c : -174.0000, 7 -> 0
c : -743.0000, 0 -> 1
b : 444.0000, 1 -> 3
b : 127.0000, 2 -> 2
c : 907.0000, 3 -> 5
a : 516.0000, 4 -> 2
a : -354.0000, 5 -> 3
a : 443.0000, 6 -> 1
c : 651.0000, 7 -> 3
