a : -749.0000, 0 -> 5
b : -913.0000, 0 -> 0
c : -467.0000, 0 -> 5
a : 243.0000, 1 -> 5
b : -253.0000, 1 -> 4
c : 185.0000, 1 -> 2
a : 253.0000, 2 -> 3
b : -323.0000, 2 -> 0
c : -803.0000, 2 -> 5
a : 671.0000, 3 -> 0
b : -442.0000, 3 -> 0
c : 274.0000, 3 -> 2
a : 82.0000, 4 -> 5
b : 593.0000, 4 -> 2
c : 135.0000, 4 -> 4
a : -821.0000, 5 -> 1
b : -29.0000, 5 -> 3
c : -950.0000, 5 -> 1
c : -416.0000, 0 -> 4
a : -801.0000, 1 -> 3
b : -953.0000, 2 -> 4
c : 143.0000, 3 -> 5
a : 709.0000, 4 -> 0
c : -457.0000, 5 -> 2
