a : 356.0000, 0 -> 2
b : 639.0000, 0 -> 4
c : -14.0000, 0 -> 4
d : -367.0000, 0 -> 6
a : 43.0000, 1 -> 5
b : 776.0000, 1 -> 5
c : -349.0000, 1 -> 5
d : 923.0000, 1 -> 0
a : 978.0000, 2 -> 6
b : 607.0000, 2 -> 5
c : -962.0000, 2 -> 5
d : -988.0000, 2 -> 3
a : -764.0000, 3 -> 0
b : -856.0000, 3 -> 1
c : 171.0000, 3 -> 3
d : 697.0000, 3 -> 1
a : 119.0000, 4 -> 7
b : -645.0000, 4 -> 2
c : -423.0000, 4 -> 7
d : 98.0000, 4 -> 3
a : -972.0000, 5 -> 2
b : 125.0000, 5 -> 3
c : -506.0000, 5 -> 3
d : 411.0000, 5 -> 7
a : 757.0000, 6 -> 2
b : -388.0000, 6 -> 5
c : -994.0000, 6 -> 3
d : 598.0000, 6 -> 2
a : -540.0000, 7 -> 6
b : 622.0000, 7 -> 0
c : 906.0000, 7 -> 1
d : -826.0000, 7 -> 3
d : -711.0000, 0 -> 7
c : -414.0000, 0 -> 1
d : -665.0000, 1 -> 6
a : 189.0000, 1 -> 0
c : 14.0000, 2 -> 6
b : 205.0000, 2 -> 2
b : -570.0000, 3 -> 5
a : 85.0000, 3 -> 1
c : 619.0000, 4 -> 6
a : 378.0000, 4 -> 0
a : 309.0000, 5 -> 1
c : -170.0000, 5 -> 7
a : 978.0000, 6 -> 0
b : 533.0000, 6 -> 6
a : 725.0000, 7 -> 3
d : -199.0000, 7 -> 2
