a : -36.0000, 0 -> 1
b : 261.0000, 0 -> 2
c : 977.0000, 0 -> 1
d : -563.0000, 0 -> 1
a : -509.0000, 1 -> 3
b : 575.0000, 1 -> 1
c : 510.0000, 1 -> 2
d : -570.0000, 1 -> 1
a : -442.0000, 2 -> 2
b : 792.0000, 2 -> 0
c : -942.0000, 2 -> 2
d : -481.0000, 2 -> 0
a : 513.0000, 3 -> 2
b : 107.0000, 3 -> 0
c : -289.0000, 3 -> 1
d : -818.0000, 3 -> 1
a : -10.0000, 0 -> 0
b : -683.0000, 0 -> 3
a : 255.0000, 1 -> 0
b : -442.0000, 1 -> 0
d : 838.0000, 2 -> 1
a : -279.0000, 2 -> 0
c : -477.0000, 3 -> 3
c : -954.0000, 3 -> 2
