a : 74.0000, 0 -> 3
b : -41.0000, 0 -> 4
c : -57.0000, 0 -> 3
d : -990.0000, 0 -> 1
a : -169.0000, 1 -> 4
b : -515.0000, 1 -> 1
c : 41.0000, 1 -> 2
d : -465.0000, 1 -> 1
a : 5.0000, 2 -> 0
b : -63.0000, 2 -> 0
c : 575.0000, 2 -> 4
d : -757.0000, 2 -> 1
a : -447.0000, 3 -> 0
b : 816.0000, 3 -> 4
c : -955.0000, 3 -> 0
d : 597.0000, 3 -> 3
a : 301.0000, 4 -> 1
b : 396.0000, 4 -> 3
c : 807.0000, 4 -> 2
d : -241.0000, 4 -> 4
b : -845.0000, 0 -> 1
a : 801.0000, 0 -> 4
d : 890.0000, 1 -> 2
d : -328.0000, 1 -> 3
a : 637.0000, 2 -> 1
c : -392.0000, 2 -> 3
a : 674.0000, 3 -> 4
a : -435.0000, 3 -> 2
b : -371.0000, 4 -> 0
b : -172.0000, 4 -> 2
