a : -371.0000, 0 -> 5
b : 194.0000, 0 -> 0
c : 459.0000, 0 -> 2
d : 439.0000, 0 -> 6
a : 889.0000, 1 -> 6
b : 432.0000, 1 -> 0
c : -87.0000, 1 -> 7
d : -58.0000, 1 -> 5
a : -169.0000, 2 -> 3
b : 28.0000, 2 -> 4
c : 657.0000, 2 -> 6
d : -521.0000, 2 -> 0
a : 425.0000, 3 -> 0
b : -83.0000, 3 -> 6
c : 230.0000, 3 -> 5
d : -117.0000, 3 -> 3
a : 27.0000, 4 -> 2
b : 341.0000, 4 -> 2
c : 558.0000, 4 -> 0
d : -72.0000, 4 -> 7
a : 867.0000, 5 -> 3
b : -898.0000, 5 -> 7
c : 675.0000, 5 -> 1
d : 786.0000, 5 -> 0
a : -143.0000, 6 -> 0
b : 821.0000, 6 -> 2
c : 879.0000, 6 -> 7
d : 914.0000, 6 -> 6
a : -639.0000, 7 -> 6
b : 778.0000, 7 -> 5
c : -142.0000, 7 -> 5
d : -325.0000, 7 -> 5
d : -788.0000, 0 -> 0
a : 932.0000, 0 -> 6
a : 824.0000, 1 -> 3
a : 942.0000, 1 -> 5
a : -881.0000, 2 -> 2
b : -907.0000, 2 -> 7
b : 130.0000, 3 -> 5
b : -888.0000, 3 -> 0
a : 494.0000, 4 -> 0
b : 574.0000, 4 -> 1
a : 552.0000, 5 -> 5
a : -760.0000, 5 -> 4
a : 752.0000, 6 -> 2
a : 278.0000, 6 -> 6
a : 818.0000, 7 -> 3
d : -290.0000, 7 -> 7
