a : -120.0000, 0 -> 0
b : -495.0000, 0 -> 3
c : -868.0000, 0 -> 1
a : -70.0000, 1 -> 5
b : 971.0000, 1 -> 3
c : 590.0000, 1 -> 4
a : 367.0000, 2 -> 0
b : -979.0000, 2 -> 2
c : -655.0000, 2 -> 0
a : -996.0000, 3 -> 1
b : -709.0000, 3 -> 0
c : 771.0000, 3 -> 3
a : 389.0000, 4 -> 0
b : -625.0000, 4 -> 2
c : -865.0000, 4 -> 2
a : -111.0000, 5 -> 1
b : -279.0000, 5 -> 3
c : 160.0000, 5 -> 2
b : 263.0000, 0 -> 5
a : -146.0000, 1 -> 0
b : -347.0000, 2 -> 4
a : 296.0000, 3 -> 4
b : -421.0000, 4 -> 4
c : -692.0000, 5 -> 4
