a : -364.0000, 0 -> 5
b : -42.0000, 0 -> 2
a : -603.0000, 1 -> 4
b : 99.0000, 1 -> 1
a : 576.0000, 2 -> 0
b : -856.0000, 2 -> 5
a : 425.0000, 3 -> 6
b : -429.0000, 3 -> 4
a : 464.0000, 4 -> 6
b : 839.0000, 4 -> 1
a : -801.0000, 5 -> 7
b : 957.0000, 5 -> 0
a : 186.0000, 6 -> 4
b : -477.0000, 6 -> 1
a : 611.0000, 7 -> 6
b : 844.0000, 7 -> 6
b : -117.0000, 0 -> 6
b : -326.0000, 1 -> 0
b : -784.0000, 2 -> 3
b : 114.0000, 3 -> 2
a : 12.0000, 4 -> 2
b : -511.0000, 5 -> 3
a : -630.0000, 6 -> 3
a : -133.0000, 7 -> 0
