a : -193.0000, 0 -> 2
b : -424.0000, 0 -> 6
c : -229.0000, 0 -> 6
d : -698.0000, 0 -> 3
a : -519.0000, 1 -> 4
b : -102.0000, 1 -> 6
c : -170.0000, 1 -> 2
d : 764.0000, 1 -> 3
a : 410.0000, 2 -> 6
b : -120.0000, 2 -> 4
c : 409.0000, 2 -> 0
d : 603.0000, 2 -> 3
a : -617.0000, 3 -> 5
b : -950.0000, 3 -> 0
c : -579.0000, 3 -> 0
d : -542.0000, 3 -> 3
a : 726.0000, 4 -> 6
b : 76.0000, 4 -> 4
c : -393.0000, 4 -> 4
d : -894.0000, 4 -> 3
a : 255.0000, 5 -> 2
b : 13.0000, 5 -> 0
c : -169.0000, 5 -> 2
d : 819.0000, 5 -> 3
a : 490.0000, 6 -> 0
b : -632.0000, 6 -> 4
c : -117.0000, 6 -> 1
d : -253.0000, 6 -> 6
d : -377.0000, 0 -> 1
b : -353.0000, 0 -> 4
d : -996.0000, 1 -> 4
a : -549.0000, 1 -> 2
a : -81.0000, 2 -> 0
b : 783.0000, 2 -> 0
b : 105.0000, 3 -> 5
b : 688.0000, 3 -> 4
a : -85.0000, 4 -> 1
a : 741.0000, 4 -> 0
c : -899.0000, 5 -> 1
d : -603.0000, 5 -> 0
b : -641.0000, 6 -> 5
a : 817.0000, 6 -> 4
