a : -217.0000, 0 -> 5
b : 663.0000, 0 -> 7
c : -854.0000, 0 -> 7
a : 730.0000, 1 -> 7
b : 496.0000, 1 -> 4
c : -465.0000, 1 -> 0
a : -694.0000, 2 -> 6
b : 955.0000, 2 -> 0
c : -447.0000, 2 -> 4
a : 395.0000, 3 -> 1
b : 695.0000, 3 -> 3
c : 542.0000, 3 -> 5
a : 84.0000, 4 -> 3
b : 494.0000, 4 -> 6
c : -873.0000, 4 -> 7
a : -980.0000, 5 -> 4
b : 949.0000, 5 -> 0
c : -3.0000, 5 -> 6
a : -838.0000, 6 -> 4
b : 582.0000, 6 -> 2
c : -463.0000, 6 -> 4
a : -170.0000, 7 -> 3
b : -332.0000, 7 -> 6
c : -582.0000, 7 -> 6
a : 914.0000, 0 -> 4
a : 923.0000, 1 -> 4
b : -399.0000, 2 -> 3
c : 146.0000, 3 -> 3
a : 278.0000, 4 -> 4
c : 191.0000, 5 -> 3
a : 370.0000, 6 -> 0
a : -585.0000, 7 -> 6
