a : 215.0000, 0 -> 6
b : 647.0000, 0 -> 1
c : 387.0000, 0 -> 2
a : 987.0000, 1 -> 4
b : -471.0000, 1 -> 5
c : 140.0000, 1 -> 4
a : -574.0000, 2 -> 4
b : -631.0000, 2 -> 4
c : 134.0000, 2 -> 2
a : -735.0000, 3 -> 3
b : -419.0000, 3 -> 0
c : -870.0000, 3 -> 5
a : -59.0000, 4 -> 0
b : -54.0000, 4 -> 3
c : 113.0000, 4 -> 1
a : 746.0000, 5 -> 3
b : -445.0000, 5 -> 3
c : -677.0000, 5 -> 4
a : 35.0000, 6 -> 0
b : -465.0000, 6 -> 4
c : 102.0000, 6 -> 0
c : 149.0000, 0 -> 5
c : -313.0000, 1 -> 3
a : -389.0000, 2 -> 3
c : -341.0000, 3 -> 4
a : -224.0000, 4 -> 3
c : -889.0000, 5 -> 0
b : -216.0000, 6 -> 3
