a : 608.0000, 0 -> 7
b : 382.0000, 0 -> 0
c : -397.0000, 0 -> 5
d : 141.0000, 0 -> 0
a : 86.0000, 1 -> 1
b : 378.0000, 1 -> 7
c : 506.0000, 1 -> 6
d : 573.0000, 1 -> 0
a : -460.0000, 2 -> 2
b : 78.0000, 2 -> 0
c : -91.0000, 2 -> 2
d : -300.0000, 2 -> 3
a : 171.0000, 3 -> 3
b : 613.0000, 3 -> 0
c : -339.0000, 3 -> 5
d : 481.0000, 3 -> 4
a : -470.0000, 4 -> 0
b : 115.0000, 4 -> 6
c : 535.0000, 4 -> 4
d : 766.0000, 4 -> 1
a : 983.0000, 5 -> 6
b : -597.0000, 5 -> 3
c : -809.0000, 5 -> 3
d : 685.0000, 5 -> 0
a : 434.0000, 6 -> 5
b : -620.0000, 6 -> 3
c : -656.0000, 6 -> 0
d : -874.0000, 6 -> 7
a : -431.0000, 7 -> 7
b : 442.0000, 7 -> 6
c : 989.0000, 7 -> 4
d : 482.0000, 7 -> 4
b : 703.0000, 0 -> 3
d : -315.0000, 0 -> 2
a : 845.0000, 1 -> 4
b : -501.0000, 1 -> 2
c : 549.0000, 2 -> 7
d : 277.0000, 2 -> 4
c : 414.0000, 3 -> 1
a : -937.0000, 3 -> 4
b : -882.0000, 4 -> 7
c : -703.0000, 4 -> 7
c : 582.0000, 5 -> 7
b : -129.0000, 5 -> 7
c : 854.0000, 6 -> 7
b : -714.0000, 6 -> 4
c : 261.0000, 7 -> 0
c : 563.0000, 7 -> 1
