a : -350.0000, 0 -> 3
b : -849.0000, 0 -> 1
c : -412.0000, 0 -> 4
d : 562.0000, 0 -> 0
a : 289.0000, 1 -> 2
b : 837.0000, 1 -> 5
c : 557.0000, 1 -> 6
d : 389.0000, 1 -> 4
a : 615.0000, 2 -> 1
b : 454.0000, 2 -> 3
c : 295.0000, 2 -> 3
d : 768.0000, 2 -> 1
a : 73.0000, 3 -> 5
b : -59.0000, 3 -> 5
c : 413.0000, 3 -> 0
d : -580.0000, 3 -> 6
a : 485.0000, 4 -> 6
b : 807.0000, 4 -> 1
c : -592.0000, 4 -> 5
d : -768.0000, 4 -> 5
a : 703.0000, 5 -> 0
b : -57.0000, 5 -> 1
c : 459.0000, 5 -> 5
d : 52.0000, 5 -> 0
a : -410.0000, 6 -> 4
b : -503.0000, 6 -> 2
c : -316.0000, 6 -> 1
d : -700.0000, 6 -> 2
c : 729.0000, 0 -> 2
a : 128.0000, 0 -> 5
a : -351.0000, 1 -> 0
d : -460.0000, 1 -> 3
c : 464.0000, 2 -> 4
d : -437.0000, 2 -> 3
b : -870.0000, 3 -> 0
c : 306.0000, 3 -> 1
d : -482.0000, 4 -> 2
c : 90.0000, 4 -> 0
a : -261.0000, 5 -> 2
d : -847.0000, 5 -> 3
d : -169.0000, 6 -> 5
b : -313.0000, 6 -> 4
