a : -729.0000, 0 -> 1
b : -748.0000, 0 -> 1
c : 557.0000, 0 -> 2
d : -436.0000, 0 -> 4
a : 396.0000, 1 -> 0
b : 908.0000, 1 -> 0
c : -841.0000, 1 -> 1
d : -353.0000, 1 -> 4
a : 672.0000, 2 -> 2
b : 321.0000, 2 -> 1
c : 340.0000, 2 -> 1
d : 13.0000, 2 -> 4
a : 222.0000, 3 -> 1
b : -798.0000, 3 -> 2
c : 131.0000, 3 -> 1
d : 836.0000, 3 -> 3
a : -400.0000, 4 -> 2
b : 43.0000, 4 -> 2
c : 553.0000, 4 -> 0
d : -794.0000, 4 -> 4
d : 667.0000, 0 -> 3
b : 128.0000, 0 -> 2
b : 822.0000, 1 -> 3
c : -162.0000, 1 -> 2
b : 613.0000, 2 -> 4
a : -712.0000, 2 -> 4
b : -528.0000, 3 -> 4
c : -159.0000, 3 -> 4
a : 767.0000, 4 -> 1
b : 935.0000, 4 -> 1
