a : 244.0000, 0 -> 0
b : 112.0000, 0 -> 1
c : 980.0000, 0 -> 2
d : -497.0000, 0 -> 1
a : 823.0000, 1 -> 3
b : 657.0000, 1 -> 1
c : -126.0000, 1 -> 0
d : -148.0000, 1 -> 0
a : -104.0000, 2 -> 1
b : 993.0000, 2 -> 3
c : -724.0000, 2 -> 1
d : 969.0000, 2 -> 2
a : 14.0000, 3 -> 1
b : -651.0000, 3 -> 0
c : 847.0000, 3 -> 3
d : 872.0000, 3 -> 3
c : 488.0000, 0 -> 1
c : -928.0000, 0 -> 0
a : 458.0000, 1 -> 3
a : 940.0000, 1 -> 1
b : -792.0000, 2 -> 1
c : -359.0000, 2 -> 3
c : -31.0000, 3 -> 0
b : 386.0000, 3 -> 1
