a : -492.0000, 0 -> 4
b : -728.0000, 0 -> 6
c : 587.0000, 0 -> 5
d : -911.0000, 0 -> 7
a : -116.0000, 1 -> 4
b : 996.0000, 1 -> 6
c : 385.0000, 1 -> 6
d : 339.0000, 1 -> 3
a : -66.0000, 2 -> 6
b : -628.0000, 2 -> 2
c : -67.0000, 2 -> 1
d : -471.0000, 2 -> 3
a : -649.0000, 3 -> 7
b : 234.0000, 3 -> 6
c : -134.0000, 3 -> 3
d : 453.0000, 3 -> 6
a : 323.0000, 4 -> 3
b : -703.0000, 4 -> 1
c : 546.0000, 4 -> 0
d : 518.0000, 4 -> 2
a : 632.0000, 5 -> 3
b : -424.0000, 5 -> 4
c : 500.0000, 5 -> 7
d : -984.0000, 5 -> 1
a : 636.0000, 6 -> 6
b : -343.0000, 6 -> 1
c : -220.0000, 6 -> 7
d : 970.0000, 6 -> 0
a : -893.0000, 7 -> 7
b : -640.0000, 7 -> 7
c : -675.0000, 7 -> 0
d : 429.0000, 7 -> 7
d : 1000.0000, 0 -> 5
a : -133.0000, 0 -> 0
a : -845.0000, 1 -> 5
d : 474.0000, 1 -> 2
b : 688.0000, 2 -> 3
d : -4.0000, 2 -> 2
a : -291.0000, 3 -> 6
a : -655.0000, 3 -> 7
b : 833.0000, 4 -> 7
c : 297.0000, 4 -> 5
b : 222.0000, 5 -> 3
d : -371.0000, 5 -> 2
d : -429.0000, 6 -> 3
c : 785.0000, 6 -> 1
c : -462.0000, 7 -> 5
a : -753.0000, 7 -> 6
