a : -627.0000, 0 -> 0
b : 611.0000, 0 -> 0
c : -7.0000, 0 -> 1
d : 49.0000, 0 -> 3
a : -593.0000, 1 -> 2
b : 615.0000, 1 -> 0
c : 992.0000, 1 -> 0
d : -9.0000, 1 -> 3
a : -166.0000, 2 -> 2
b : -94.0000, 2 -> 2
c : 496.0000, 2 -> 0
d : 191.0000, 2 -> 0
a : 693.0000, 3 -> 2
b : -613.0000, 3 -> 0
c : 949.0000, 3 -> 3
d : 665.0000, 3 -> 0
c : 720.0000, 0 -> 3
d : 335.0000, 0 -> 3
d : -474.0000, 1 -> 3
a : -846.0000, 1 -> 2
d : 390.0000, 2 -> 1
a : -296.0000, 2 -> 2
d : -316.0000, 3 -> 2
c : -828.0000, 3 -> 3
