a : -900.0000, 0 -> 2
b : -803.0000, 0 -> 1
c : 182.0000, 0 -> 3
d : -862.0000, 0 -> 1
a : -232.0000, 1 -> 1
b : 385.0000, 1 -> 3
c : 85.0000, 1 -> 1
d : -864.0000, 1 -> 3
a : 875.0000, 2 -> 3
b : -47.0000, 2 -> 0
c : 851.0000, 2 -> 2
d : 195.0000, 2 -> 1
a : 728.0000, 3 -> 3
b : -695.0000, 3 -> 3
c : -364.0000, 3 -> 3
d : -920.0000, 3 -> 2
b : 92.0000, 0 -> 3
a : -879.0000, 0 -> 1
a : -340.0000, 1 -> 3
c : -824.0000, 1 -> 2
d : -674.0000, 2 -> 0
d : 166.0000, 2 -> 3
c : -107.0000, 3 -> 1
a : 82.0000, 3 -> 0
