a : 780.0000, 0 -> 3
b : -197.0000, 0 -> 2
c : 315.0000, 0 -> 3
d : -883.0000, 0 -> 2
a : -247.0000, 1 -> 0
b : 921.0000, 1 -> 1
c : 560.0000, 1 -> 3
d : 703.0000, 1 -> 0
a : -929.0000, 2 -> 1
b : 894.0000, 2 -> 0
c : -277.0000, 2 -> 1
d : 793.0000, 2 -> 3
a : 567.0000, 3 -> 2
b : -879.0000, 3 -> 2
c : 158.0000, 3 -> 0
d : -668.0000, 3 -> 2
c : 292.0000, 0 -> 2
a : 337.0000, 0 -> 1
c : 440.0000, 1 -> 2
c : 340.0000, 1 -> 1
b : -264.0000, 2 -> 1
b : -921.0000, 2 -> 0
d : 760.0000, 3 -> 2
b : 177.0000, 3 -> 3
