a : -181.0000, 0 -> 4
b : -940.0000, 0 -> 7
a : -243.0000, 1 -> 6
b : 812.0000, 1 -> 5
a : 980.0000, 2 -> 7
b : -569.0000, 2 -> 0
a : -766.0000, 3 -> 7
b : -837.0000, 3 -> 5
a : 944.0000, 4 -> 6
b : 746.0000, 4 -> 7
a : -419.0000, 5 -> 3
b : -458.0000, 5 -> 5
a : -823.0000, 6 -> 6
b : -11.0000, 6 -> 0
a : 737.0000, 7 -> 1
b : 742.0000, 7 -> 6
b : 955.0000, 0 -> 3
b : -391.0000, 1 -> 4
a : 596.0000, 2 -> 0
b : 359.0000, 3 -> 2
a : -75.0000, 4 -> 7
b : 538.0000, 5 -> 7
a : 957.0000, 6 -> 1
b : 817.0000, 7 -> 3
