a : 549.0000, 0 -> 3
b : 766.0000, 0 -> 5
c : 100.0000, 0 -> 0
d : -585.0000, 0 -> 0
a : -159.0000, 1 -> 0
b : 67.0000, 1 -> 5
c : -480.0000, 1 -> 5
d : 998.0000, 1 -> 1
a : 801.0000, 2 -> 3
b : -431.0000, 2 -> 3
c : -396.0000, 2 -> 2
d : 171.0000, 2 -> 3
a : 266.0000, 3 -> 5
b : -289.0000, 3 -> 4
c : 429.0000, 3 -> 1
d : -377.0000, 3 -> 7
a : 897.0000, 4 -> 2
b : -982.0000, 4 -> 4
c : -644.0000, 4 -> 1
d : 252.0000, 4 -> 7
a : -861.0000, 5 -> 4
b : -791.0000, 5 -> 7
c : 273.0000, 5 -> 4
d : 596.0000, 5 -> 3
a : 142.0000, 6 -> 4
b : -137.0000, 6 -> 3
c : 546.0000, 6 -> 7
d : 819.0000, 6 -> 2
a : 900.0000, 7 -> 6
b : 231.0000, 7 -> 7
c : 633.0000, 7 -> 5
d : -103.0000, 7 -> 6
a : 870.0000, 0 -> 2
c : 295.0000, 0 -> 4
c : 872.0000, 1 -> 0
c : 841.0000, 1 -> 4
b : -554.0000, 2 -> 0
c : 964.0000, 2 -> 0
a : -982.0000, 3 -> 4
a : 54.0000, 3 -> 5
c : -358.0000, 4 -> 4
d : 138.0000, 4 -> 4
a : -823.0000, 5 -> 5
c : 821.0000, 5 -> 0
a : 748.0000, 6 -> 4
d : 424.0000, 6 -> 2
a : 12.0000, 7 -> 1
d : 166.0000, 7 -> 7
