a : -384.0000, 0 -> 0
b : 501.0000, 0 -> 4
a : -315.0000, 1 -> 7
b : -860.0000, 1 -> 6
a : -171.0000, 2 -> 3
b : 543.0000, 2 -> 5
a : -363.0000, 3 -> 2
b : 692.0000, 3 -> 6
a : 249.0000, 4 -> 0
b : 598.0000, 4 -> 6
a : -825.0000, 5 -> 2
b : -739.0000, 5 -> 0
a : 843.0000, 6 -> 3
b : 356.0000, 6 -> 7
a : 607.0000, 7 -> 2
b : -619.0000, 7 -> 3
a : 2.0000, 0 -> 7
a : 404.0000, 1 -> 3
b : 716.0000, 2 -> 5
b : -726.0000, 3 -> 5
b : 129.0000, 4 -> 2
b : -534.0000, 5 -> 2
a : -248.0000, 6 -> 5
a : 861.0000, 7 -> 3
b : 666.0000, 6 -> 1
