a : 651.0000, 0 -> 1
b : 171.0000, 0 -> 5
a : 782.0000, 1 -> 5
b : 934.0000, 1 -> 1
a : 52.0000, 2 -> 2
b : 360.0000, 2 -> 1
a : 901.0000, 3 -> 3
b : 477.0000, 3 -> 0
a : 749.0000, 4 -> 1
b : 244.0000, 4 -> 4
a : -548.0000, 5 -> 2
b : 925.0000, 5 -> 3
a : -508.0000, 6 -> 3
b : -266.0000, 6 -> 0
a : 406.0000, 7 -> 5
b : 941.0000, 7 -> 4
a : 569.0000, 0 -> 5
b : 108.0000, 1 -> 4
b : 444.0000, 2 -> 7
a : -273.0000, 3 -> 4
b : 288.0000, 4 -> 6
a : 394.0000, 5 -> 6
a : -675.0000, 6 -> 2
b : 947.0000, 7 -> 3
