a : -26.0000, 0 -> 0
b : 643.0000, 0 -> 0
c : 577.0000, 0 -> 3
d : -579.0000, 0 -> 3
a : -171.0000, 1 -> 3
b : -219.0000, 1 -> 4
c : -92.0000, 1 -> 3
d : 642.0000, 1 -> 4
a : -807.0000, 2 -> 5
b : 336.0000, 2 -> 1
c : 355.0000, 2 -> 3
d : 0.0000, 2 -> 2
a : -802.0000, 3 -> 4
b : -897.0000, 3 -> 1
c : -918.0000, 3 -> 4
d : 2.0000, 3 -> 1
a : -508.0000, 4 -> 4
b : -847.0000, 4 -> 2
c : 183.0000, 4 -> 3
d : -988.0000, 4 -> 7
a : 392.0000, 5 -> 3
b : -175.0000, 5 -> 6
c : -906.0000, 5 -> 1
d : 637.0000, 5 -> 4
a : -601.0000, 6 -> 5
b : 443.0000, 6 -> 6
c : -569.0000, 6 -> 6
d : 899.0000, 6 -> 2
a : 187.0000, 7 -> 6
b : -644.0000, 7 -> 2
c : 737.0000, 7 -> 5
d : -168.0000, 7 -> 4
c : 678.0000, 0 -> 4
b : -928.0000, 0 -> 4
b : 230.0000, 1 -> 3
c : -721.0000, 1 -> 7
c : 442.0000, 2 -> 3
c : -489.0000, 2 -> 6
d : -852.0000, 3 -> 3
b : -355.0000, 3 -> 3
b : 60.0000, 4 -> 3
c : 477.0000, 4 -> 7
d : -151.0000, 5 -> 5
d : 521.0000, 5 -> 4
b : -898.0000, 6 -> 0
b : -378.0000, 6 -> 3
a : -435.0000, 7 -> 7
b : -955.0000, 7 -> 6
