a : 618.0000, 0 -> 7
b : -367.0000, 0 -> 0
a : 150.0000, 1 -> 5
b : 386.0000, 1 -> 0
a : 705.0000, 2 -> 2
b : 291.0000, 2 -> 1
a : -757.0000, 3 -> 3
b : 56.0000, 3 -> 6
a : -189.0000, 4 -> 1
b : 964.0000, 4 -> 6
a : -389.0000, 5 -> 1
b : -395.0000, 5 -> 4
a : 332.0000, 6 -> 6
b : -423.0000, 6 -> 6
a : -176.0000, 7 -> 1
b : -647.0000, 7 -> 5
a : 911.0000, 0 -> 2
b : 273.0000, 1 -> 0
a : -509.0000, 2 -> 3
b : 419.0000, 3 -> 1
b : 268.0000, 4 -> 4
b : 749.0000, 5 -> 1
a : 751.0000, 6 -> 3
b : 283.0000, 7 -> 0
