a : -722.0000, 0 -> 3
b : -909.0000, 0 -> 5
a : 386.0000, 1 -> 4
b : 941.0000, 1 -> 5
a : -897.0000, 2 -> 2
b : -470.0000, 2 -> 0
a : -488.0000, 3 -> 5
b : 380.0000, 3 -> 1
a : 533.0000, 4 -> 2
b : 933.0000, 4 -> 1
a : 25.0000, 5 -> 1
b : 546.0000, 5 -> 2
a : -768.0000, 6 -> 4
b : 416.0000, 6 -> 4
a : -307.0000, 7 -> 0
b : 175.0000, 7 -> 4
b : 370.0000, 0 -> 1
b : -114.0000, 1 -> 2
a : -350.0000, 2 -> 6
b : -510.0000, 3 -> 3
b : 534.0000, 4 -> 4
a : -855.0000, 5 -> 4
b : -549.0000, 6 -> 4
b : -306.0000, 7 -> 3
a : -353.0000, 6 -> 7
