a : -473.0000, 0 -> 7
b : -705.0000, 0 -> 2
c : -91.0000, 0 -> 6
d : -520.0000, 0 -> 7
a : -777.0000, 1 -> 7
b : -723.0000, 1 -> 7
c : -419.0000, 1 -> 4
d : 499.0000, 1 -> 4
a : -592.0000, 2 -> 6
b : -513.0000, 2 -> 0
c : -321.0000, 2 -> 1
d : 854.0000, 2 -> 4
a : -391.0000, 3 -> 5
b : -627.0000, 3 -> 4
c : -375.0000, 3 -> 5
d : 38.0000, 3 -> 7
a : -843.0000, 4 -> 6
b : 349.0000, 4 -> 6
c : -683.0000, 4 -> 3
d : -666.0000, 4 -> 3
a : -513.0000, 5 -> 4
b : 685.0000, 5 -> 4
c : -999.0000, 5 -> 0
d : 187.0000, 5 -> 2
a : 321.0000, 6 -> 1
b : -513.0000, 6 -> 3
c : 24.0000, 6 -> 5
d : 313.0000, 6 -> 5
a : -788.0000, 7 -> 6
b : -426.0000, 7 -> 1
c : -156.0000, 7 -> 5
d : -231.0000, 7 -> 1
d : -206.0000, 0 -> 0
b : 553.0000, 0 -> 7
d : -362.0000, 1 -> 6
d : -522.0000, 1 -> 3
c : -35.0000, 2 -> 0
c : 888.0000, 2 -> 7
d : 524.0000, 3 -> 2
c : 808.0000, 3 -> 6
c : 815.0000, 4 -> 6
a : -136.0000, 4 -> 4
c : -367.0000, 5 -> 2
a : -891.0000, 5 -> 6
b : 534.0000, 6 -> 7
d : 742.0000, 6 -> 3
a : -669.0000, 7 -> 3
d : 775.0000, 7 -> 5
