a : 637.0000, 0 -> 1
b : -260.0000, 0 -> 1
c : -64.0000, 0 -> 2
d : -445.0000, 0 -> 2
a : -877.0000, 1 -> 1
b : 630.0000, 1 -> 0
c : -438.0000, 1 -> 3
d : -703.0000, 1 -> 0
a : 362.0000, 2 -> 1
b : -126.0000, 2 -> 1
c : 736.0000, 2 -> 1
d : 499.0000, 2 -> 2
a : -997.0000, 3 -> 2
b : 282.0000, 3 -> 0
c : -672.0000, 3 -> 1
d : 254.0000, 3 -> 0
d : -607.0000, 0 -> 2
c : -598.0000, 0 -> 2
a : 615.0000, 1 -> 0
d : 577.0000, 1 -> 1
a : -171.0000, 2 -> 0
d : 949.0000, 2 -> 1
c : 344.0000, 3 -> 2
a : 614.0000, 3 -> 3
