a : 160.0000, 0 -> 2
b : 217.0000, 0 -> 5
a : -427.0000, 1 -> 7
b : -169.0000, 1 -> 0
a : -740.0000, 2 -> 0
b : 185.0000, 2 -> 6
a : -278.0000, 3 -> 3
b : 27.0000, 3 -> 4
a : 215.0000, 4 -> 1
b : 71.0000, 4 -> 6
a : 431.0000, 5 -> 2
b : 643.0000, 5 -> 7
a : 421.0000, 6 -> 2
b : -547.0000, 6 -> 3
a : 602.0000, 7 -> 2
b : -360.0000, 7 -> 0
a : -533.0000, 0 -> 4
b : -358.0000, 1 -> 7
a : -594.0000, 2 -> 7
a : 318.0000, 3 -> 0
a : 497.0000, 4 -> 7
a : -162.0000, 5 -> 0
a : 170.0000, 6 -> 2
b : -757.0000, 7 -> 7
