a : -382.0000, 0 -> 6
b : -856.0000, 0 -> 2
c : -309.0000, 0 -> 6
d : 441.0000, 0 -> 1
a : -948.0000, 1 -> 3
b : 702.0000, 1 -> 4
c : -593.0000, 1 -> 5
d : -347.0000, 1 -> 7
a : -632.0000, 2 -> 6
b : 685.0000, 2 -> 2
c : -164.0000, 2 -> 2
d : 631.0000, 2 -> 2
a : -319.0000, 3 -> 6
b : -373.0000, 3 -> 4
c : -571.0000, 3 -> 6
d : -805.0000, 3 -> 5
a : 195.0000, 4 -> 1
b : -487.0000, 4 -> 4
c : -941.0000, 4 -> 1
d : -903.0000, 4 -> 7
a : -538.0000, 5 -> 0
b : -37.0000, 5 -> 7
c : -24.0000, 5 -> 4
d : 861.0000, 5 -> 2
a : 332.0000, 6 -> 1
b : -510.0000, 6 -> 7
c : 345.0000, 6 -> 5
d : -803.0000, 6 -> 6
a : 769.0000, 7 -> 4
b : -915.0000, 7 -> 4
c : -488.0000, 7 -> 6
d : -337.0000, 7 -> 6
d : -230.0000, 0 -> 2
a : -177.0000, 0 -> 4
a : 209.0000, 1 -> 5
d : 710.0000, 1 -> 0
d : 998.0000, 2 -> 7
b : 192.0000, 2 -> 0
a : -832.0000, 3 -> 4
a : 31.0000, 3 -> 6
c : 449.0000, 4 -> 5
d : 457.0000, 4 -> 2
c : -485.0000, 5 -> 7
d : 619.0000, 5 -> 4
a : -383.0000, 6 -> 7
d : -933.0000, 6 -> 0
b : -487.0000, 7 -> 0
a : 968.0000, 7 -> 0
