a : 11.0000, 0 -> 3
b : -20.0000, 0 -> 4
c : -399.0000, 0 -> 6
d : 943.0000, 0 -> 4
a : -773.0000, 1 -> 5
b : 889.0000, 1 -> 6
c : -872.0000, 1 -> 1
d : 849.0000, 1 -> 2
a : -437.0000, 2 -> 6
b : 182.0000, 2 -> 5
c : -954.0000, 2 -> 6
d : -595.0000, 2 -> 4
a : -98.0000, 3 -> 5
b : -767.0000, 3 -> 5
c : 298.0000, 3 -> 2
d : 64.0000, 3 -> 0
a : -91.0000, 4 -> 5
b : -360.0000, 4 -> 7
c : -392.0000, 4 -> 4
d : -638.0000, 4 -> 2
a : 129.0000, 5 -> 0
b : 91.0000, 5 -> 0
c : 374.0000, 5 -> 4
d : -389.0000, 5 -> 1
a : 894.0000, 6 -> 7
b : -399.0000, 6 -> 0
c : -865.0000, 6 -> 7
d : -388.0000, 6 -> 4
a : 582.0000, 7 -> 3
b : 983.0000, 7 -> 1
c : 65.0000, 7 -> 0
d : 815.0000, 7 -> 0
c : -482.0000, 0 -> 3
b : -691.0000, 0 -> 0
b : 555.0000, 1 -> 7
d : 363.0000, 1 -> 0
a : 585.0000, 2 -> 1
c : -790.0000, 2 -> 4
d : 223.0000, 3 -> 2
b : 727.0000, 3 -> 5
a : 709.0000, 4 -> 0
d : 16.0000, 4 -> 7
c : -628.0000, 5 -> 7
c : 804.0000, 5 -> 3
b : 465.0000, 6 -> 1
c : 551.0000, 6 -> 3
a : -915.0000, 7 -> 2
b : -777.0000, 7 -> 4
